X,Y,OBJECTID,WELLID,FIELDWELL,Date,OilRate,GasRate,WaterRate,Months,Forecast
0.0119722,57.89184171,43138,21/01a- 14,Buchan:B09,1988-08-01 00:00:00+00:00,113365.13,29.97,1423.14,0.0,113365.13
0.0119722,57.89184171,43139,21/01a- 14,Buchan:B09,1988-09-01 00:00:00+00:00,122610.25,32.47,1252.2,1.0333333333333334,108539.20096140988
0.0119722,57.89184171,43140,21/01a- 14,Buchan:B09,1988-10-01 00:00:00+00:00,124093.94,32.9,1405.94,2.033333333333333,104239.48572277908
0.0119722,57.89184171,43141,21/01a- 14,Buchan:B09,1988-11-01 00:00:00+00:00,100283.18,26.43,951.79,3.066666666666667,100135.49365138698
0.0119722,57.89184171,43142,21/01a- 14,Buchan:B09,1988-12-01 00:00:00+00:00,69585.48,18.16,974.04,4.066666666666666,96456.16067468922
0.0119722,57.89184171,43143,21/01a- 14,Buchan:B09,1989-01-01 00:00:00+00:00,78649.04,20.61,963.93,5.1,92924.03272323788
0.0119722,57.89184171,43144,21/01a- 14,Buchan:B09,1989-02-01 00:00:00+00:00,17071.09,4.39,83.95,6.133333333333334,89637.96936302676
0.0119722,57.89184171,43145,21/01a- 14,Buchan:B09,1989-03-01 00:00:00+00:00,102843.09,27.11,832.44,7.066666666666666,86860.76951573655
0.0119722,57.89184171,43146,21/01a- 14,Buchan:B09,1989-04-01 00:00:00+00:00,53942.62,14.04,166.89,8.1,83977.36139847919
0.0119722,57.89184171,43148,21/01a- 14,Buchan:B09,1989-06-01 00:00:00+00:00,12485.85,3.21,64.73,10.133333333333333,78821.16755339202
0.0119722,57.89184171,43149,21/01a- 14,Buchan:B09,1989-07-01 00:00:00+00:00,37287.09,9.66,239.72,11.133333333333333,76507.68098494237
0.0119722,57.89184171,43150,21/01a- 14,Buchan:B09,1989-08-01 00:00:00+00:00,125494.93,33.28,1553.61,12.166666666666666,74253.59272164306
0.0119722,57.89184171,43151,21/01a- 14,Buchan:B09,1989-09-01 00:00:00+00:00,102076.53,26.89,1910.66,13.2,72126.69791437895
0.0119722,57.89184171,43152,21/01a- 14,Buchan:B09,1989-10-01 00:00:00+00:00,107644.17,28.39,1130.82,14.2,70179.69298122596
0.0119722,57.89184171,43153,21/01a- 14,Buchan:B09,1989-11-01 00:00:00+00:00,91619.04,24.07,1253.21,15.233333333333333,68273.69473492392
0.0119722,57.89184171,43154,21/01a- 14,Buchan:B09,1989-12-01 00:00:00+00:00,45982.5,11.92,818.28,16.233333333333334,66523.86227066061
0.0119722,57.89184171,43155,21/01a- 14,Buchan:B09,1990-01-01 00:00:00+00:00,93925.78,24.68,1682.07,17.266666666666666,64806.19288121158
0.0119722,57.89184171,43156,21/01a- 14,Buchan:B09,1990-02-01 00:00:00+00:00,68153.23,17.8,665.55,18.3,63173.7596780755
0.0119722,57.89184171,43157,21/01a- 14,Buchan:B09,1990-03-01 00:00:00+00:00,89131.75,23.41,1896.5,19.233333333333334,61767.42892782001
0.0119722,57.89184171,43158,21/01a- 14,Buchan:B09,1990-04-01 00:00:00+00:00,75234.83,19.69,506.75,20.266666666666666,60280.67869041154
0.0119722,57.89184171,43159,21/01a- 14,Buchan:B09,1990-05-01 00:00:00+00:00,68326.71,17.83,782.88,21.266666666666666,58907.52980552161
0.0119722,57.89184171,43160,21/01a- 14,Buchan:B09,1990-06-01 00:00:00+00:00,51479.54,13.39,574.51,22.3,57551.89914522923
0.0119722,57.89184171,43161,21/01a- 14,Buchan:B09,1990-07-01 00:00:00+00:00,35214.35,9.12,335.81,23.3,56297.27766864172
0.0119722,57.89184171,43162,21/01a- 14,Buchan:B09,1990-08-01 00:00:00+00:00,1040.91,0.25,12.14,24.333333333333332,55056.229123820194
0.0119722,57.89184171,43163,21/01a- 14,Buchan:B09,1990-09-01 00:00:00+00:00,54075.76,14.08,380.31,25.366666666666667,53867.948157124905
0.0119722,57.89184171,43164,21/01a- 14,Buchan:B09,1990-10-01 00:00:00+00:00,62473.62,16.28,491.57,26.366666666666667,52765.14944716306
0.0119722,57.89184171,43165,21/01a- 14,Buchan:B09,1990-11-01 00:00:00+00:00,64073.31,16.72,966.96,27.4,51671.37569502045
0.0119722,57.89184171,43166,21/01a- 14,Buchan:B09,1990-12-01 00:00:00+00:00,45780.77,11.88,252.87,28.4,50654.601155127355
0.0119722,57.89184171,43167,21/01a- 14,Buchan:B09,1991-01-01 00:00:00+00:00,41693.8,10.79,388.4,29.433333333333334,49644.540937693564
0.0119722,57.89184171,43168,21/01a- 14,Buchan:B09,1991-02-01 00:00:00+00:00,46233.65,12.0,638.24,30.466666666666665,48673.405087457904
0.0119722,57.89184171,43277,21/01a- 14,Buchan:B09,1991-03-01 00:00:00+00:00,73241.77,19.17,1292.66,31.4,47827.87574309725
0.0119722,57.89184171,43278,21/01a- 14,Buchan:B09,1991-04-01 00:00:00+00:00,61937.03,16.14,701.96,32.43333333333333,46924.88719575264
0.0119722,57.89184171,43279,21/01a- 14,Buchan:B09,1991-05-01 00:00:00+00:00,53390.9,13.9,1564.74,33.43333333333333,46082.4483175856
0.0119722,57.89184171,43280,21/01a- 14,Buchan:B09,1991-06-01 00:00:00+00:00,50079.56,13.02,1431.23,34.46666666666667,45242.67568066792
0.0119722,57.89184171,43281,21/01a- 14,Buchan:B09,1991-07-01 00:00:00+00:00,41511.24,10.76,849.63,35.46666666666667,44458.21447564455
0.0119722,57.89184171,43282,21/01a- 14,Buchan:B09,1991-08-01 00:00:00+00:00,58818.34,15.33,1010.46,36.5,43675.273607888244
0.0119722,57.89184171,43283,21/01a- 14,Buchan:B09,1991-09-01 00:00:00+00:00,51424.06,13.35,1009.45,37.53333333333333,42919.039160695254
0.0119722,57.89184171,43284,21/01a- 14,Buchan:B09,1991-10-01 00:00:00+00:00,39270.06,10.18,1668.92,38.53333333333333,42211.36739931401
0.0119722,57.89184171,43285,21/01a- 14,Buchan:B09,1991-11-01 00:00:00+00:00,54880.64,14.27,1669.93,39.56666666666667,41503.86280360745
0.0119722,57.89184171,43286,21/01a- 14,Buchan:B09,1991-12-01 00:00:00+00:00,50160.25,13.02,1456.51,40.56666666666667,40841.07948023547
0.0119722,57.89184171,43287,21/01a- 14,Buchan:B09,1992-01-01 00:00:00+00:00,48500.04,12.58,822.32,41.6,40177.7629866794
0.0119722,57.89184171,43288,21/01a- 14,Buchan:B09,1992-02-01 00:00:00+00:00,42406.9,10.98,560.35,42.63333333333333,39535.34049966529
0.0119722,57.89184171,43289,21/01a- 14,Buchan:B09,1992-03-01 00:00:00+00:00,44491.74,11.56,537.09,43.6,38952.42247420811
0.0119722,57.89184171,43290,21/01a- 14,Buchan:B09,1992-04-01 00:00:00+00:00,32040.19,8.29,571.48,44.63333333333333,38347.744384947364
0.0119722,57.89184171,43291,21/01a- 14,Buchan:B09,1992-05-01 00:00:00+00:00,34814.93,9.01,303.44,45.63333333333333,37779.92593473139
0.0119722,57.89184171,43292,21/01a- 14,Buchan:B09,1992-06-01 00:00:00+00:00,31699.27,8.18,554.28,46.666666666666664,37210.32624111466
0.0119722,57.89184171,43293,21/01a- 14,Buchan:B09,1992-07-01 00:00:00+00:00,3648.22,0.93,82.94,47.666666666666664,36674.98403475251
0.0119722,57.89184171,43294,21/01a- 14,Buchan:B09,1992-08-01 00:00:00+00:00,2227.06,0.57,50.57,48.7,36137.51028097851
0.0119722,57.89184171,43295,21/01a- 14,Buchan:B09,1992-09-01 00:00:00+00:00,54497.36,14.19,742.42,49.733333333333334,35615.33613843217
0.0119722,57.89184171,43296,21/01a- 14,Buchan:B09,1992-10-01 00:00:00+00:00,46428.31,12.04,1427.18,50.733333333333334,35123.96959022512
0.0119722,57.89184171,43297,21/01a- 14,Buchan:B09,1992-11-01 00:00:00+00:00,45272.42,11.85,415.71,51.766666666666666,34630.06277179481
0.0119722,57.89184171,43298,21/01a- 14,Buchan:B09,1992-12-01 00:00:00+00:00,45372.28,11.78,697.91,52.766666666666666,34164.945944592124
0.0119722,57.89184171,43299,21/01a- 14,Buchan:B09,1993-01-01 00:00:00+00:00,27013.17,6.99,497.64,53.8,33697.08215784012
0.0119722,57.89184171,43300,21/01a- 14,Buchan:B09,1993-02-01 00:00:00+00:00,41856.19,11.27,266.02,54.833333333333336,33241.67479029902
0.0119722,57.89184171,43301,21/01a- 14,Buchan:B09,1993-03-01 00:00:00+00:00,15888.97,4.11,99.12,55.766666666666666,32840.63879095952
0.0119722,57.89184171,43302,21/01a- 14,Buchan:B09,1993-04-01 00:00:00+00:00,1236.58,0.32,6.07,56.8,32407.610072895975
0.0119722,57.89184171,43303,21/01a- 14,Buchan:B09,1993-05-01 00:00:00+00:00,46320.39,12.04,461.23,57.8,31999.12902935972
0.0119722,57.89184171,43304,21/01a- 14,Buchan:B09,1993-06-01 00:00:00+00:00,48471.8,12.55,475.39,58.833333333333336,31587.554661469523
0.0119722,57.89184171,43305,21/01a- 14,Buchan:B09,1993-07-01 00:00:00+00:00,40819.31,10.58,488.54,59.833333333333336,31199.06785477443
0.0119722,57.89184171,43306,21/01a- 14,Buchan:B09,1993-08-01 00:00:00+00:00,25354.98,6.56,139.58,60.86666666666667,30807.399335089543
0.0119722,57.89184171,43307,21/01a- 14,Buchan:B09,1993-09-01 00:00:00+00:00,29556.94,7.64,197.24,61.9,30425.30066720323
0.0119722,57.89184171,43308,21/01a- 14,Buchan:B09,1993-10-01 00:00:00+00:00,22700.26,5.87,249.83,62.9,30064.31463654867
0.0119722,57.89184171,43309,21/01a- 14,Buchan:B09,1993-11-01 00:00:00+00:00,14317.52,3.68,271.07,63.93333333333333,29700.0555543984
0.0119722,57.89184171,43310,21/01a- 14,Buchan:B09,1993-12-01 00:00:00+00:00,31150.57,8.04,390.43,64.93333333333334,29355.73185442016
0.0119722,57.89184171,43311,21/01a- 14,Buchan:B09,1994-01-01 00:00:00+00:00,42708.48,11.09,468.31,65.96666666666667,29008.09731917477
0.0119722,57.89184171,43419,21/01a- 14,Buchan:B09,1994-02-01 00:00:00+00:00,38412.72,9.96,98.11,67.0,28668.480649091212
0.0119722,57.89184171,43420,21/01a- 14,Buchan:B09,1994-03-01 00:00:00+00:00,43873.45,11.38,286.25,67.93333333333334,28368.394405697043
0.0119722,57.89184171,43421,21/01a- 14,Buchan:B09,1994-04-01 00:00:00+00:00,37009.71,9.6,848.62,68.96666666666667,28043.293819207698
0.0119722,57.89184171,43422,21/01a- 14,Buchan:B09,1994-05-01 00:00:00+00:00,46935.66,12.18,494.61,69.96666666666667,27735.59418554148
0.0119722,57.89184171,43423,21/01a- 14,Buchan:B09,1994-06-01 00:00:00+00:00,44590.59,11.56,232.64,71.0,27424.54917316375
0.0119722,57.89184171,43424,21/01a- 14,Buchan:B09,1994-07-01 00:00:00+00:00,41105.77,10.64,643.29,72.0,27130.012670416985
0.0119722,57.89184171,43425,21/01a- 14,Buchan:B09,1994-08-01 00:00:00+00:00,42546.09,11.01,450.1,73.03333333333333,26832.13525839687
0.0119722,57.89184171,43426,21/01a- 14,Buchan:B09,1994-09-01 00:00:00+00:00,45108.01,11.7,343.9,74.06666666666666,26540.632995775573
0.0119722,57.89184171,43427,21/01a- 14,Buchan:B09,1994-10-01 00:00:00+00:00,47149.48,0.0,702.97,75.06666666666666,26264.41416861926
0.0119722,57.89184171,43428,21/01a- 14,Buchan:B09,1994-11-01 00:00:00+00:00,37351.64,9.67,829.4,76.1,25984.87610359948
0.0119722,57.89184171,43429,21/01a- 14,Buchan:B09,1994-12-01 00:00:00+00:00,42743.78,11.09,258.94,77.1,25719.880774026547
0.0119722,57.89184171,43430,21/01a- 14,Buchan:B09,1995-01-01 00:00:00+00:00,20492.36,5.29,225.56,78.13333333333334,25451.588606111385
0.0119722,57.89184171,43431,21/01a- 14,Buchan:B09,1995-02-01 00:00:00+00:00,34129.06,8.83,397.51,79.16666666666667,25188.754530562284
0.0119722,57.89184171,43432,21/01a- 14,Buchan:B09,1995-03-01 00:00:00+00:00,35804.4,0.0,540.12,80.1,24955.910753799028
0.0119722,57.89184171,43433,21/01a- 14,Buchan:B09,1995-04-01 00:00:00+00:00,39038.07,10.1,724.21,81.13333333333334,24703.01678849557
0.0119722,57.89184171,43434,21/01a- 14,Buchan:B09,1995-05-01 00:00:00+00:00,26575.42,6.84,1899.54,82.13333333333334,24463.042338270643
0.0119722,57.89184171,43436,21/01a- 14,Buchan:B09,1995-07-01 00:00:00+00:00,42635.86,11.05,16810.6,84.16666666666667,23988.98931417197
0.0119722,57.89184171,43437,21/01a- 14,Buchan:B09,1995-08-01 00:00:00+00:00,44080.22,11.45,1147.0,85.2,23754.9475152234
0.0119722,57.89184171,43438,21/01a- 14,Buchan:B09,1995-09-01 00:00:00+00:00,37090.4,9.59,833.45,86.23333333333333,23525.361769794257
0.0119722,57.89184171,43439,21/01a- 14,Buchan:B09,1995-10-01 00:00:00+00:00,40761.82,10.58,2153.42,87.23333333333333,23307.306585642033
0.0119722,57.89184171,43440,21/01a- 14,Buchan:B09,1995-11-01 00:00:00+00:00,39627.11,10.25,998.32,88.26666666666667,23086.127318869756
0.0119722,57.89184171,43443,21/01a- 14,Buchan:B09,1996-01-01 00:00:00+00:00,1558.0,0.4,100.64,90.3,22662.76105871123
0.0119722,57.89184171,43444,21/01a- 14,Buchan:B09,1996-01-02 00:00:00+00:00,1306.69,1.9,15.73,90.33333333333333,22655.948037685524
0.0119722,57.89184171,43445,21/01a- 14,Buchan:B09,1996-01-03 00:00:00+00:00,1284.75,1.87,15.68,90.36666666666666,22649.139050384387
0.0119722,57.89184171,43446,21/01a- 14,Buchan:B09,1996-01-04 00:00:00+00:00,1207.6,1.75,13.39,90.4,22642.334093244717
0.0119722,57.89184171,43452,21/01a- 14,Buchan:B09,1996-01-10 00:00:00+00:00,1221.82,1.77,13.83,90.6,22601.588784790732
